"unique_key","Entity","etr_24m","application_total_12M","application_total_24M","max_amount_approved_12M","PF_TOTAL_OS_12","ALL_PROD_STATWPRT3","UNSEC_TOTAL_LIMIT_12","CC_AVG_MIAGE1_OS_24","PL_MONS_INC_BALANCE_GE1_3M","AF_MONS_INC_BALANCE_GE1_3M","SEC_TOTAL_MIAGE1_OS_24","ALL_MIN_MIAGE1_OS_12","AF_MAX_MIAGE1_OS_6","UNSEC_AVG_MIAGE1_OS_12","AF_AVG_BALANCE_GE1_DEC_24M","PL_AVG_MIAGE1_OS_1","SEC_MIA_GE1_24","MIA1_ALLPROD_STATOK24","MIA1_ALLPROD_STATOK6","MIA1FACILITY_TYPE6","ALL_AVG_BALANCE_ALL_DEC_6M","ALL_AVG_BALANCE_ALL_INC_6M","PERC_MIA_TOTOS_M6TO24","PF_MONS_INC_BALANCE_ALL_6M","CC_PROD_ALLSTAT24","PL_PROD_ALLSTAT3","AF_PROD_ALLSTAT3","SEC_PROD_ALLSTAT24","ALL_PROD_ALLSTAT12","AF_PROD_ALLSTAT6","UNSEC_PROD_ALLSTAT12","AF_PROD_ALLSTAT24","PL_PROD_ALLSTAT1","ALL_PROD_STATOK24","ALL_PROD_ALLSTAT6","enq12ctos"
"106140926","32085266","","1","1","1500","","","","","","","","","","","","","0","","","","","","","","","","","1","1","","","","","1","","2"
"120080659","30701617","","","","","","","","","","","","","","","-385.8823529","","0","","","","-319","","","","","","1","1","1","1","","1","","1","1","1"
"123020774","31973732","","","1","","","","","","","","","","","","","","0","1","","","","","","","","","","","","","","","","1","","0"
"125080439","32474551","","","","","86121","","85851","","","","","9537","","9569","","","0","1","1","OTLNFNCE","","8","0.6675027","5","","","","","1","","1","","","1","1","1"
"204050414","32690961","","1","1","8580","","","","","","","","","","","","","0","","","","-92.66666667","118","","","","","","1","1","","","","","1","1","0"
"205020452","32758940","","","","","27205","","27528","","","","","6715","","6801.25","","","0","1","1","OTLNFNCE","-57.33333333","","1","","","","","","1","","1","","","1","1","0"
"212110157","31886378","","6","9","60000","787737","","916000","","1","","","","","","-14101.33333","","0","","","","-741.6666667","28936.5","","1","1","2","1","1","5","1","4","1","1","5","4","1"
"217140494","31862563","","","","","","","","","","","","","","","-304.6363636","","0","","","","-317.4","","","","","","1","1","1","1","","1","","1","1","0"
"218070395","32353331","","","2","","","","","","","","","","","","","","0","","","","-781","","","","","","","1","1","","","","","1","1","0"
"223050508","31742041","","2","2","","","","","","","","49998","4944","","","","","9","2","1","OHRPCREC","-155.8","","0.150381012","","","","","1","1","","","","","2","1","2"
"224130112","31452419","","","","","2523658","","2460576","","","","","209218","","210349.5","","","0","1","1","OTLNFNCE","-357","258.5","0.042329395","4","","","","","1","","1","","","1","1","1"
"224140329","30818437","","","","","","","","","","","","","","","-391.2352941","","0","","","","-412.4","","","","","","1","3","3","1","","1","","3","1","2"
"226110422","32203739","","","","","","","","","","","10","","","","","","2","1","","","","","","","","","","1","","","","","","1","","2"
"227040075","31452088","","3","7","80000","","","9000","","","","","","","","","","0","","","","","79100","","","1","","1","1","2","1","1","1","","2","2","2"
"301011687","32703775","","2","2","35800","","","","","","1","","","","","-238","","0","","","","-238","193","","","","","1","1","1","1","","1","","1","1","2"
"302040105","32773595","","4","4","76985","314300","","461910","","","","","77710","","77710","","","0","1","1","OTLNFNCE","-37910.5","219.3333333","0.247247852","3","","","","","1","","1","","","1","1","0"
"303011699","32113211","","","4","","","","","","","","","","","","","","0","","","","-143.2","","","","","","","1","1","","","","","1","1","0"
"313140849","30923763","","","2","","793333","","784140","","","","","","","","","","0","","","","-248.25","199","","1","","","","","1","","1","","","1","1","1"
"315030061","31249315","","","3","","499392","","493560","","","","","","","","","","0","","","","-796.75","30","","5","","","","2","3","","1","","","3","3","1"
"317131405","31757518","","2","2","50545","151477","","151635","","","","","","","","-518.4375","","0","","","","-502.5","50192","","","","","1","1","2","1","1","1","","2","2","1"
"325101409","32458965","","1","1","6000","","","12000","","","","","","","","","","0","","","","","440","","","1","","","","1","","1","","","1","1","4"
"325131333","32684801","","2","2","57857","","","","","","","","","","","-569","","0","","","","-569","","","","","","1","1","1","1","","1","","1","1","1"
"325131413","31985185","","3","5","16000","156809","","171640","","","","","","","","-434.1333333","","0","","","","-544.8","","","","","1","1","1","3","1","2","1","1","3","2","0"
"402080809","30873796","","","","","","","","","","","","","","","","","0","","","","","","","","","","1","1","1","1","","1","","","1","2"
"404050224","32398613","","1","3","","17903","","17880","","","","","8955","","8955","-291","","0","1","1","OTLNFNCE","-280.75","8663","0.018494386","1","","","1","1","2","1","1","1","","2","2","0"
"404140270","32359683","","10","10","2500","","","27500","","","","","","","","","","0","","","","","342.5","","","2","","","","2","","2","","","2","2","3"
"409100219","31554552","","11","22","80000","2652469","","2796349","","","","","","","","-2990.055556","","0","","","","-7295.333333","111386.5","","2","","","2","4","6","2","4","3","","8","6","3"
"409101617","32675029","","1","1","","","","","","","","","","","","-400.2","","0","","","","-400.2","","","","","","1","1","1","1","","1","","1","1","0"
"412080992","32813592","","","","","","","","","","","","","","","","","0","","","","-4","","","","","","","1","1","","","","","1","1","0"
"415141041","31533181","","4","5","52500","","","","","","1","52498","52498","52498","","-775","","1","1","1","PCPASCAR","-775","339","0.251733431","","","","1","1","1","1","","1","","1","1","4"
"417060448","30891164","","","2","","37587","","50328","","","","77323","3941","","2633.375","","","19","3","2","OHRPCREC","-122","280.5","0.061298099","1","","","","1","3","","2","","","3","3","0"
"424100436","31980419","","1","8","3000","","","18000","","","1","","","","","-224.9230769","","0","","","","-380.6666667","1256.5","","","1","","1","1","2","1","1","1","","2","2","1"
"424141449","32382656","","2","6","","","","","","","","26567","26567","","","","","1","1","1","HSLNFNCE","-68.5","7809.666667","0.112823496","","","","","1","1","","","","","1","1","0"
"425031065","31660185","","6","6","","0","","340","","","","","","","","","","0","","","","-158.25","69","","","","","","1","2","","1","","","2","1","7"
"427060716","31740992","","","","","","","","","","","","","","","-295.4736842","","0","","","","-255.2","","","","","","1","1","1","1","","1","","1","1","1"
"430060522","32903764","","","","","17753","","17880","","","","","8805","","8805","","","0","1","1","OTLNFNCE","-143","","0.495972512","","","","","","1","","1","","","1","1","0"
"503060321","32529605","","3","3","82000","","","","","","","","","","","-654","","0","","","","-654","","","","","","1","1","1","1","","1","","1","1","2"
"504030597","31801125","","","5","","","","","","","","","","","","","","0","","","","-132.2","","","","","","","1","1","","","","","1","1","0"
"505020534","31970617","","","3","","","","","","","","","","","","-460.2631579","","0","","","","-256.4","","","","","","1","1","1","1","","1","","1","1","0"
"505110011","32032161","","","1","","","","","","","","","","","","","","0","","","","","","","","","","","1","1","","","","","1","1","2"
"505141002","32657736","","","","","126640","","128016","","","","","18149","","18241","","","0","1","1","OTLNFNCE","-584.5","15","0.719701516","3","","","","","1","","1","","","1","1","0"
"506100528","31875749","","","3","","","","","","","","","","","","-477.6","","0","","","","-490.6","","","","","","1","1","1","1","","1","","1","1","1"
"524102180","32360390","","3","4","35277","","","","","","","","","","","-335","","0","","","","-335","","","","","","1","1","1","1","","1","","1","1","2"
"529021216","30885905","","","4","","119920","","120000","","","1","357895","5752","49493","","-452","","10","2","2","PCPASCAR","-801","322.3333333","0.216090816","1","","1","1","2","3","1","1","1","1","4","3","0"
"531140273","31677398","","","","","5772","2","7722","","","","104011","0","","524.7272727","","546","14","2","","OHRPCREC","","","0.296103536","","","1","","1","2","","1","","1","2","2","2"
"531141153","32096943","","6","10","","","","","","","2","","","","","-634.6666667","","0","","","","","232","","","","","1","1","1","1","","1","","1","1","3"
"531141153","32096943","","6","10","","","","","","","2","","","","","-634.6666667","","0","","","","","232","","","","","1","1","1","1","","1","","1","1","3"
"604020134","32624501","","2","2","990","","","","","","","","","","","","","0","","","","","2216.4","","","","","","2","2","","","","","2","2","1"
